warm out;cold out;warm in;cold in
2266183519.2;5.695.200.000.000.000;7485487783.2;556274257.2
3120979694.4;42.673.946.040.000.000;5405110200.0;0.0
6274147078.8;4257080852.4;11965619646.0;0.0
3533001591.6;4103346744.0;16348186692.0;37.586.930.759.999.900
2185810520.4;7841848046.4;11353580164.8;468431064.0
1277365748.4;7569644068.8;8435106003.6;576241207.2
1122871971.6;9203495965.2;5399947854.0;5.989.777.991.999.990
304294539.6;1346263264.8;6568347074.4;548541007.2
413078302.8;709032600.0;3737308352.4;4428.0
3327302595.6;31.300.356.672.000.000;6204527229.6;741366.0
29.545.659.143.999.900;984149204.4;11.066.248.450.800.000;492524546.4
37.311.401.447.999.900;798510672.0;6402595982.4;548258486.4
5040027964.8;739020560.4;5083093648.8;707252180.4
5.203.933.149.599.990;797064908.4;6436167505.2;48.627.806.400.000.000
2435871398.4;2725.2;6.750.428.140.799.990;462432398.4
3847105530.0;17.028.000.000.000.000;2192486212.8;5450.4
7785862434.0;763035660.0;2510147941.2;20.091.600.000.000.000
4784908665.6;4764744604.8;8482802374.8;44.834.595.840.000.000
2511847540.8;7134782738.4;7492964918.4;523047348.0
1359461822.4;10174435455.6;9.528.527.257.199.990;411397855.2
364806223.2;13279014662.4;11980964444.4;384224472.0
70132924.8;2802776162.4;12141584442.0;25.375.814.999.999.900
49603532.4;2985880676.4;10846084485.6;0.0
18.522.637.920.000.000;10705941349.2;12.604.525.045.199.900;0.0
301197412.8;10353668464.8;10475194914.0;501700593.6
429151543.2;6.693.170.583.599.990;9330093226.8;403185967.2
927735638.4;6.649.717.593.599.990;7641022154.4;417977319.6
7.015.467.168.000.000;8046162093.6;8889632622.0;46.408.897.440.000.000
276924668.4;674040524.4;9893625699.6;388846162.8
702143352.0;13.760.036.279.999.900;11987567208.0;0.0
2934955674.0;1231523067.6;15389157668.4;0.0
36.633.415.103.999.900;8.961.498.215.999.990;15580115035.2;271019494.8
4082050530.0;9.353.939.075.999.990;10329132236.4;398116746.0
3973009010.4;845194791.6;12145400852.4;314598844.8
3438599828.4;1353639481.2;13369817926.8;273371187.6
1385188354.8;5724.0;12090889620.0;304362856.8
1794769117.2;29658844.8;11389547678.4;0.0
